id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
ethereum-classic,34,ETC,Ethereum Classic,150654852.3569506700000000,210700000.0000000000000000,3053289040.7629593495985833,59465240.4477941499461152,20.2667819389495531,-2.7352655097107033,20.0025468445912387,http://gastracker.io/
mantra-dao,35,OM,MANTRA DAO,500205033.1781248500000000,888888888.0000000000000000,3029296753.2809487049168498,174425466.7110211044060134,6.0561100995603237,2.9585667120575264,5.8105883891939094,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d
okb,36,OKB,OKB,60000000.0000000000000000,,2803191122.9062503120000000,357932.5376744424620984,46.7198520484375052,-0.7984849820836449,45.6743153519493370,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
bittensor,37,TAO,Bittensor,8215232.0000000000000000,21000000.0000000000000000,2749606047.8733290332753024,128884009.2292118860956805,334.6960923164834582,,331.5928931263352890,https://bittensor.com/scan
vechain,38,VET,VeChain,80985041177.0000000000000000,86712634466.0000000000000000,2707098971.9511291878216613,28933871.3486002276945473,0.0334271481820269,-3.4722852407854495,0.0331386717949132,https://explore.veforge.com/
crypto-com-coin,39,CRO,Cronos,25263013692.0000000000000000,30263013692.0000000000000000,2458145055.7145257233683148,8842987.6978819655953094,0.0973021305250269,-4.3834759546400514,0.0971359352694222,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
algorand,40,ALGO,Algorand,8424403220.0475340000000000,10000000000.0000000000000000,2338598182.7672332042360717,69561030.3645426699377691,0.2775980828175551,-3.4171974374460122,0.2731542196839820,https://algoexplorer.io/
filecoin,41,FIL,Filecoin,628151937.0000000000000000,,2044217207.1368220543129312,97315154.6283417185084642,3.2543355941873376,-1.1202294444985582,3.1883439714377586,https://protocol.ai
fetch,42,FET,Artificial Superintelligence Alliance,2520000000.0000000000000000,2630547141.0000000000000000,1893204704.8669701240000000,69750901.9294453248807901,0.7512717082805437,-0.5131366827323773,0.7289542200839608,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
gatetoken,43,GT,GateToken,88747764.1153432100000000,,1866731653.2527326361517107,15594137.2600281747283941,21.0341260071249685,-1.0845636700671063,20.7699089558846233,
dexe,44,DEXE,DeXe,83733347.4979964300000000,,1710591809.7949573069569343,5941884.6242736160064408,20.4290388585729039,-2.5345819111011764,20.4407495395790740,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
raydium,45,RAY,Raydium,290866823.9593390000000000,,1563341443.5502277696455965,56686018.9071694110058513,5.3747671263078500,1.0026392466387950,5.1938910253338506,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
celestia,46,TIA,Celestia,517917062.7940570000000000,,1553202428.8027106210158797,57865686.6660945728512336,2.9989404489272859,,2.9601701171849126,https://www.mintscan.io/celestia
lido-dao,47,LDO,Lido DAO,895936033.4719100000000000,,1553192140.6300373285394358,24979884.9906438030542270,1.7335971348435938,-3.9620886467580263,1.7385658394319635,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
kucoin-token,48,KCS,KuCoin Token,122606967.8513356400000000,200000000.0000000000000000,1539672016.0154878885259634,1566516.3150312254477379,12.5577856054835566,-1.7326602403762916,12.5669672772958110,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
stacks,49,STX,Stacks,1512099450.1540300000000000,1818000000.0000000000000000,1395701485.5494101620109421,15295146.7407276309907827,0.9230222823024220,-4.4662082599501740,0.9198233789725825,https://explorer.xinfin.network/
theta,50,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,1350194349.8039513000000000,13194428.7443547743468739,1.3501943498039513,-2.9880103037757725,1.3296342701569311,https://explorer.thetatoken.org/
the-graph,51,GRT,The Graph,9548531509.1654740000000000,,1256113831.2719209640457786,21266189.9573825539423465,0.1315504724539264,-3.0943699248620898,0.1311226870841140,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
fantom,52,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,1217949052.1255499660162694,1169986.8142933458901972,0.4344178623735743,-2.9328831560388116,0.4453375580674098,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
cosmos,53,ATOM,Cosmos,248453201.0000000000000000,,1122513142.3268581405848771,82667240.2936247632912351,4.5180063601871571,-3.1106379344431274,4.4853988902704335,https://www.mintscan.io/
xinfin-network,54,XDC,XinFin Network,12293293518.5500000000000000,,1108436523.9011925972612752,2795285.9874232778121085,0.0901659528610957,-1.0381465185159433,0.0884613286349316,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
quant,55,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1062204573.4225902299629884,6436776.7271531900115931,87.9837343792758718,0.2021558848969294,85.8676955640271136,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
injective-protocol,56,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,1028604140.8699725890590276,44405279.0758610147721130,14.0893956673552812,0.6208122212431107,13.4735588643512795,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
the-sandbox,57,SAND,The Sandbox,2445857126.2233224000000000,,939486638.0664196657777159,40953285.5473635157279162,0.3841134578114513,-1.8782228990156061,0.3782429429852370,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
eos,58,EOS,EOS,1545036488.5198000000000000,,921305957.7421300794485056,71410166.4018461388724290,0.5963004528292882,-1.1424586977578904,0.5846082078645048,https://bloks.io/
tezos,59,XTZ,Tezos,1028998679.1890800000000000,,874366854.4116710905494357,14332741.6682561736681456,0.8497259249163768,-1.3040960137150548,0.8390077380064013,https://tzkt.io/
nexo,60,NEXO,Nexo,646145839.5746847000000000,,853963235.7692645929449748,1166141.9736541903553797,1.3216261460901341,-2.3889784902423798,1.3285229737752521,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
maker,61,MKR,Maker,880524.5563412100000000,1005577.0000000000000000,810763567.7492171405258971,16752760.9323861100122894,920.7733752686393645,0.6063519996018392,899.7587458484631637,https://etherscan.io/token/Maker
gala,62,GALA,Gala,36910880663.9893800000000000,,808162904.8393899850905872,52037410.2163969921284536,0.0218949775865912,-1.6778952627601092,0.0213886558854833,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
iota,63,IOTA,IOTA,3631397410.0000000000000000,,806831554.0175499859626830,19583165.4560740715418106,0.2221821141899063,0.0289474942192206,0.2149603750313004,https://thetangle.org/
bitcoin-sv,64,BSV,Bitcoin SV,19821812.5000000000000000,,783605067.0428861538763000,9698025.7134339358390039,39.5324628886932592,-1.8468808817306917,39.0149138919544834,https://bsvexplorer.io/
flow,65,FLOW,Flow,1562246493.5816650000000000,,756644189.8691029689458382,8063708.0165881630584438,0.4843308613446730,-1.6802080789803075,0.4758468602232326,https://flowscan.org/
neo,66,NEO,Neo,70538831.0000000000000000,,748561771.3453952996864413,18939324.9210698428874760,10.6120524076362323,-2.4016396382165641,10.5428821423431410,https://neotracker.io
dogwifhat,67,WIF,dogwifhat,998841553.1837930000000000,,748049748.8254242151923323,176412541.5090821283994122,0.7489173297216425,,0.7296476021340962,https://solscan.io/token/EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm
pudgy-penguins,68,PENGU,Pudgy Penguins,62860396090.0400000000000000,,680539669.5150443149836998,47676808.5739679871040922,0.0108262071486195,,0.0110658985108282,https://solscan.io/token/2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv
arweave,69,AR,Arweave,65652466.0000000000000000,66000000.0000000000000000,654439932.3504836891042396,18424890.9242599887514193,9.9682460115128606,-0.6139167201796700,9.7963694446663034,https://viewblock.io/arweave
telcoin,70,TEL,Telcoin,91870083810.9700000000000000,100000000000.0000000000000000,641661326.4515341831223405,1453651.7973421996921702,0.0069844425936500,-1.8582660937272743,0.0068220315322701,https://etherscan.io/token/0x85e076361cc813a908ff672f9bad1541474402b2
axie-infinity,71,AXS,Axie Infinity,158418595.7373267400000000,,641309913.3786174694891100,15420434.6182520931637889,4.0481984478764788,-1.5019724678113460,3.9819532360637460,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
ftx-token,72,FTT,FTX Token,328895103.8132070000000000,,638541453.0132380956760758,17579552.7657831900258691,1.9414744871844974,-8.0683909694762859,2.0200746359988162,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
curve-dao-token,73,CRV,Curve DAO Token,1280277417.0000000000000000,,626677314.9203287019060481,18866200.8325798398765781,0.4894855650807193,-3.6871019638848628,0.4846898590355860,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
decentraland,74,MANA,Decentraland,1942255184.1130493000000000,,622633958.8928184052266490,21373943.9144049505350691,0.3205726847768207,-0.7473593315641188,0.3142053390288943,https://etherscan.io/token/decentraland
helium,75,HNT,Helium,177394590.4600469200000000,223000000.0000000000000000,601768971.1586830998161522,2821212.8268145933682245,3.3922622420338935,6.7883940101218558,3.3039903060268605,https://explorer.helium.com/
polygon,76,MATIC,Polygon,1913783718.0000000000000000,,594323155.0657831682557536,10925968.5635077886399059,0.3105487571431952,-0.2657551072287306,0.3022555545515149,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
conflux-network,77,CFX,Conflux,4832258620.8600000000000000,,545938556.5543506472105758,21921276.2549485875049165,0.1129779259325300,0.2445426606873048,0.1096297851239718,http://www.confluxscan.io/
pendle,78,PENDLE,Pendle,164549959.9763959000000000,,539438759.5621461337335555,6415079.9682263837300662,3.2782673398372548,9.6130385578494672,3.0596656952420410,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827
elrond-egld,79,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,527628550.7100193418591815,8470098.6472224024427008,21.8167528532686241,-0.1945681391156284,21.3613133972800656,https://explorer.elrond.com/
chiliz,80,CHZ,Chiliz,9390766847.0000000000000000,,526981273.7402943526348321,22303174.0687377752828272,0.0561169585323743,-1.3191002098108955,0.0550716979864353,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
kava,81,KAVA,Kava,1082853808.0000000000000000,,515340399.6938507052114432,14278329.4844771795699176,0.4759094864759904,-2.2877993258895146,0.4575346766947790,https://www.mintscan.io/kava
aioz-network,82,AIOZ,AIOZ Network,1155381129.0664380000000000,,504280087.7173449826135197,17892673.8187360702032834,0.4364621119654338,-8.1705460953896827,0.4519059288282635,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18
zcash,83,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,503801471.9015694704483456,14701559.1473691865338562,30.8545553490825211,-1.7437340414979389,30.1753493615796315,https://explorer.zcha.in/
ecash,84,XEC,eCash,19821707797583.0000000000000000,21000000000000.0000000000000000,501010471.0987510832036469,3979014.6472532489390302,0.0000252758478843,-2.2171141242289479,0.0000250662387936,https://explorer.bitcoinabc.org/
akash-network,85,AKT,Akash Network,248285794.6611410000000000,388539008.0000000000000000,495556548.3711278934507824,2754760.1346574881986111,1.9959118041668899,0.5909187807417926,1.9163847687205260,https://akash.bigdipper.live/
trueusd,86,TUSD,TrueUSD,495516083.0000000000000000,,494830398.9634403330142335,3168271.7888098061570364,0.9986162224394245,0.0712003824204720,0.9980140654156003,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
amp,87,AMP,Amp,84231565354.4628000000000000,,490607714.7716380092291732,1767637.9764897716869199,0.0058245114252248,-3.7967310330747501,0.0056819589273477,
reserve-rights,88,RSR,Reserve Rights,55255097920.0000000000000000,100000000000.0000000000000000,477264043.6988862203490560,24271701.0855236129743567,0.0086374662549668,-1.7427358466626234,0.0083721205137447,https://etherscan.io/token/0x8762db106b2c2a0bccb3a80d1ed41273552616e8
gnosis-gno,89,GNO,Gnosis,2587420.5043337400000000,,455696469.8783591645325990,4036948.4432661791427488,176.1199886586277433,-3.6981056883441203,176.5161045621985104,https://etherscan.io/token/Gnosis
